stand,latcoord,longcoord
A01,52.36696416666667,13.503761388888888
A02,52.36710444444444,13.504346944444444
A03,52.367287222222224,13.505096388888889
A04,52.36745583333333,13.50565861111111
A05,52.367582222222225,13.506244166666667
A06,52.36770861111111,13.50680611111111
A07,52.367849166666666,13.507415277777778
A08,52.36798972222222,13.508000833333334
A09,52.36813,13.50858611111111
A10,52.36828472222222,13.50921861111111
A11,52.36843916666667,13.509804166666667
A12,52.36857972222222,13.510413055555556
A13,52.368701111111115,13.511234444444444
A14,52.368856111111114,13.511849444444444
A15,52.369013611111114,13.512454722222222
A16,52.369166944444444,13.513062777777778
A17,52.36931194444445,13.51367638888889
A18,52.36945277777778,13.514292777777777
A19,52.369595000000004,13.514915833333333
B01,52.36650986111111,13.504204305555556
B01A,52.36632638888889,13.504307083333334
B02,52.36614222222222,13.504425694444445
B03,52.36576194444444,13.504578472222223
B03A,52.36560361111111,13.504684027777778
B04,52.365397916666666,13.504816388888889
B05,52.365039583333335,13.50505861111111
B05A,52.36486958333333,13.505180416666667
B06,52.36465750000001,13.505301944444444
B07,52.364312777777776,13.50552375
B07A,52.364187916666666,13.50560722222222
B07B,52.36408791666667,13.505665
B08,52.36388111111111,13.50578236111111
B09,52.36322055555556,13.506253333333333
B09A,52.36304972222223,13.506361527777777
B10,52.36285152777778,13.506484722222222
B11,52.36250375,13.506717916666666
B11A,52.36232375,13.506833055555555
B12,52.36212041666667,13.506959305555554
B13,52.36174777777778,13.507233750000001
B13A,52.36158555555556,13.507339166666666
B14,52.361371388888884,13.507485138888889
B15,52.36097347222223,13.507719166666668
B15A,52.36087875,13.507778472222222
B15B,52.360785694444445,13.507840694444443
B16,52.36058972222223,13.50796861111111
C01,52.36004138888889,13.508110833333333
C02,52.360196944444446,13.508715277777778
C03,52.36042694444445,13.509732222222222
C04,52.360616944444445,13.510499722222223
C05A,52.36074361111111,13.511065555555556
C05,52.360772222222224,13.511190277777779
C06,52.36091611111111,13.511804444444444
C07A,52.361019722222224,13.512264722222222
C07,52.36106,13.512399166666667
C08,52.36119222222222,13.513003611111111
C09A,52.36129583333334,13.51346388888889
C09,52.361330555555554,13.5136175
C10,52.36146277777778,13.514202777777777
C11A,52.36157222222222,13.514663055555555
C11,52.36160666666667,13.514816666666666
C12,52.36176777777778,13.515488333333334
C13,52.36200361111111,13.516524166666667
C14A,52.36212444444445,13.517071111111113
C14,52.362164722222225,13.517215
C15,52.36232583333334,13.517925
D01,52.366815833333334,13.499104166666665
D02,52.3664275,13.499710555555556
D03A,52.36621708333334,13.499839305555556
D03,52.36601347222222,13.499952916666665
D04,52.36553333333333,13.500282638888889
D05B,52.36523458333333,13.500459444444445
D05A,52.36535111111111,13.500392777777776
D05,52.365159444444444,13.500497499999998
D06,52.36475958333334,13.500770555555555
D07A,52.36456569444445,13.500899027777777
D07,52.36437805555556,13.50100763888889
D08,52.36403611111112,13.501258888888888
