stand,latcoord,longcoord
GAT,51.27552819444444,6.751411388888889
A01,51.28056861111111,6.767155833333334
A02,51.28102916666666,6.767244166666667
A03,51.28152,6.767361666666667
A04,51.28205722222222,6.767408333333333
A05,51.28205722222222,6.767408333333333
A07,51.28258527777778,6.766935277777778
A08,51.28258375,6.7673419444444445
A09,51.28279305555556,6.766863194444445
A10,51.28192833333333,6.765539166666667
A11,51.28192833333333,6.765539166666667
A12,51.28149388888889,6.765439722222222
A12A,51.28149388888889,6.765439722222222
A13,51.28107388888889,6.765384166666666
A15,51.2806575,6.765361388888889
A16,51.28028666666667,6.765314444444445
B01,51.28013305555555,6.764172777777778
B02,51.280385833333334,6.763660833333334
B03,51.28062694444444,6.762842777777778
B04,51.2803675,6.762185833333334
B05,51.28022652777778,6.761670416666666
B06,51.28005861111111,6.761447592592592
B08,51.27939166666667,6.7617272222222224
B09,51.27909277777778,6.762542777777778
B10,51.27887777777778,6.7633197222222226
B11,51.278729999999996,6.763819722222222
C01,51.27774055555555,6.763325277777778
C02,51.27763888888889,6.7624861111111105
C02A,51.27758333333333,6.762222222222222
C03,51.27713138888889,6.761647222222222
C03A,51.27713138888889,6.761647222222222
C04,51.276515277777776,6.761538611111111
C05,51.276087777777775,6.7620225
C06,51.27621055555556,6.762893333333333
C07,51.27625888888889,6.7636811111111115
C08x,51.276450277777776,6.764514166666666
V01,51.290099999999995,6.782139722222222
V02,51.28969958333333,6.781430972222222
V02A,51.289595,6.781215694444445
V03,51.28933986111111,6.780670694444444
V03A,51.28933513888889,6.780921111111111
V04,51.289266805555556,6.780520972222222
V04A,51.28909958333333,6.7804577777777775
V05,51.28907638888889,6.780105694444444
V05A,51.28887611111111,6.780029583333333
V06,51.28888277777777,6.779696527777778
V07,51.288745972222216,6.7794976388888895
V07A,51.288745972222216,6.7794976388888895
V08A,51.28875736111111,6.778639583333334
V08B,51.288555277777775,6.77913486111111
V08C,51.28837166666666,6.779113611111111
V11A,51.287949999999995,6.77703
V11B,51.28749555555555,6.776851111111111
V11C,51.28758,6.77744
V12,51.28771,6.77658
V14,51.28745,6.77604
V16,51.2872,6.77548
V17,51.28687,6.77501
V19,51.28659,6.77448
V20,51.28633,6.77393
V22,51.28608,6.77337
V23,51.28588,6.77274
V24,51.28563,6.77222
V25,51.28531722222222,6.771719444444444
V26,51.28505916666666,6.771186111111111
V27,51.28479972222222,6.770669722222222
V28,51.2846,6.77016
V29,51.28438,6.769669722222222
V29A,51.28418972222222,6.7691405555555555
V38,51.28592777777777,6.776232222222222
V38A,51.28579055555555,6.776136944444444
V38B,51.285555555555554,6.775597222222222
V39,51.28565319444444,6.775706250000001
V39A,51.28541277777778,6.775327361111112
V40,51.28538041666667,6.775095277777778
V41,51.28509722222222,6.774680555555555
V41A,51.285,6.774444444444445
V42,51.28490055555555,6.773990277777778
V43,51.284659999999995,6.7734499999999995
V44,51.28442111111111,6.772909722222222
V45,51.284169999999996,6.77237
V46,51.283919999999995,6.77184
V47,51.283629999999995,6.77119
V49,51.283381388888884,6.7706888888888885
V51,51.283139999999996,6.77017
V53,51.28290222222222,6.7696075
V61,51.27991680555555,6.759433194444444
V61A,51.279725416666665,6.75943
V62,51.27949888888889,6.759421944444444
V63,51.2791275,6.759175
V71,51.27752125,6.759267361111111
V72A,51.277265416666665,6.759270555555556
V72,51.27705291666666,6.759246111111111
V73,51.276672777777776,6.7590288888888885
V74,51.27629888888889,6.759187777777778
V75,51.27594277777778,6.759457222222222
V76,51.275594444444444,6.759728611111111
V77x,51.275259444444444,6.760072222222222
V81x,51.27631083333333,6.756907777777778
V82x,51.27593972222222,6.757209722222222
V83x,51.27558,6.7574797222222225
V84x,51.27522,6.75776
V85x,51.27486,6.75804
V86x,51.27451,6.75836
V91x,51.27608,6.7558
V92x,51.27576,6.75605
V93x,51.27545,6.7563
V94x,51.27512972222222,6.756559722222222
V95x,51.27482,6.75681
V96x,51.27451,6.75707
V101x,51.27726388888888,6.753236111111111
V102x,51.277125,6.753347222222223
V103x,51.27684,6.75344
V104x,51.27654166666667,6.753819444444444
V105x,51.27641666666666,6.753930555555556
V106x,51.276109999999996,6.75403
V120x,51.276582222222224,6.7559652777777774
V121x,51.27694416666667,6.755686944444444
V122x,51.27732046296296,6.755728333333333
V123x,51.27736777777778,6.755365555555556
V124x,51.27792222222222,6.7563233333333335
V125x,51.27802472222222,6.757044722222222
V126x,51.277849027777776,6.7569397222222225
V127x,51.277624027777776,6.757190555555556
V128x,51.27729125,6.757249305555556
V129x,51.27713986111111,6.757097916666667
V130x,51.27682861111111,6.7571763888888885
V111x,51.2779875,6.754979722222222
V113x,51.27762611111111,6.7552980555555555
V115x,51.27710805555555,6.755554166666666
V116x,51.277250555555554,6.756020555555556
V65x,51.277990555555554,6.759305
V64x,51.27838916666666,6.759288333333333
V63x,51.27880333333333,6.75932
