stand,latcoord,longcoord
01,49.49449888888889,11.083686944444445
02,49.4945875,11.08305388888889
03,49.49471305555556,11.08227111111111
04,49.494765,11.081665
05,49.49487,11.081073888888888
06,49.494931944444446,11.080425
09,49.495068055555556,11.07849388888889
10,49.49511388888889,11.077903888888889
11,49.49519277777778,11.077243888888889
12,49.495246111111115,11.076595
13,49.495295,11.075823055555555
14,49.49535388888889,11.07513111111111
15,49.495448055555556,11.074525
16,49.49548305555555,11.073923888888888
H1,49.49563611111111,11.073374722222223
H2,49.49565777777778,11.073022222222223
H3,49.49570333333333,11.072658055555555
H4,49.496407222222224,11.07674361111111
26,49.495555555555555,11.085733055555556
26D,49.495536111111115,11.085579166666667
27,49.495626944444446,11.085070555555555
27E,49.49552166666667,11.085047777777778
28D,49.49562888888889,11.084651111111112
28,49.495692500000004,11.084403611111112
30,49.49579888888889,11.082583055555554
31,49.49587388888889,11.08178611111111
32,49.49595,11.080994722222222
33,49.49603916666667,11.080208333333333
34,49.49610638888889,11.079412222222222
35,49.496186111111115,11.078616666666667
44,49.496452777777776,11.068956944444444
43,49.49639277777778,11.069571111111111
43D,49.496389444444446,11.069724166666667
42,49.496338055555555,11.07018888888889
41D,49.49631111111111,11.0705425
41,49.49627388888889,11.0708
40E,49.49626138888889,11.0711225
40D,49.496231111111115,11.071348055555555
40,49.49621472222222,11.071417222222221
81,49.49550277777778,11.07138611111111
82,49.495558333333335,11.070933333333333
83,49.49559722222222,11.070425
84,49.49565277777778,11.069972222222223
85,49.495691666666666,11.069463888888889
86,49.49574722222222,11.069011111111111
GAT-T2,49.49449527777778,11.069161805555556
GAT-G3,49.496476944444446,11.067661666666666
GAT-G2,49.49507203703703,11.073736851851852
R9,49.494021555555555,11.073853055555555
R11,49.495156111111115,11.06794
