stand,latcoord,longcoord
101,51.420379999999994,12.212083194444443
102,51.42033,12.212326388888888
103,51.42027041666667,12.212672083333333
104,51.42021194444444,12.213006805555555
105,51.42017,12.213236805555555
106,51.42013152777777,12.213450694444443
107,51.42008208333333,12.213730694444443
108,51.42003277777778,12.214009166666667
109,51.41998944444444,12.214255277777777
110,51.419946805555554,12.214504722222221
111,51.41990027777778,12.214740972222222
112,51.41961527777778,12.215049027777777
113,51.41957625,12.215266944444444
114,51.41951611111111,12.215579444444444
115,51.41946,12.215892916666666
116,51.4194025,12.21618861111111
117,51.419342361111106,12.216539027777777
118,51.41928722222222,12.216846805555555
119,51.41922638888889,12.217205416666667
120,51.419167083333335,12.217556666666667
121,51.41912597222222,12.217757500000001
126,51.41927305555555,12.218765555555557
128,51.41912444444444,12.21947
130,51.41897972222222,12.220263055555556
132,51.41885388888889,12.221036388888889
134,51.41871138888889,12.22179388888889
136,51.41858111111111,12.222555833333333
137,51.41851708333333,12.223091805555555
138,51.418467916666664,12.223364861111111
139,51.418419722222225,12.22368527777778
201R,51.40794513888889,12.197855277777778
201,51.40795513888889,12.198146666666666
202,51.40798402777778,12.198568055555555
203R,51.40800638888889,12.199025277777778
203,51.40801555555555,12.199358472222222
203L,51.40802819444444,12.199655
204,51.40805486111111,12.200066527777778
205R,51.40807847222222,12.200445138888888
205,51.40808236111111,12.200698749999999
205L,51.40810111111111,12.201041944444444
207R,51.40812444444444,12.201472083333332
207,51.40814777777778,12.201918888888889
208,51.40817208333333,12.202456805555556
209,51.40819736111111,12.203001944444445
209L,51.40821347222222,12.203389861111111
211,51.408263194444444,12.204666944444444
212,51.408287083333335,12.205500555555554
301,51.42573486111111,12.230046527777779
302,51.42575166666667,12.230371111111111
303,51.4257875,12.230889999999999
304,51.42581194444444,12.231425138888888
305,51.42583736111111,12.231949305555556
306,51.42583638888889,12.232785
307,51.42587694444444,12.234047777777777
308,51.42592472222222,12.235289444444444
401,51.406754166666666,12.231201666666667
402,51.406886111111106,12.234293055555554
403,51.407245833333334,12.231140555555555
404,51.40738944444444,12.23424
405,51.40776861111111,12.231085555555556
406,51.407911666666664,12.234185277777778
407,51.408273333333334,12.231041666666666
408,51.408405277777774,12.234133333333332
409,51.40877138888889,12.230989166666667
410,51.40891722222222,12.234065
411,51.409282222222224,12.230944722222223
412,51.40941027777777,12.23399861111111
421,51.40687694444444,12.23573861111111
422,51.40702527777778,12.23905861111111
423,51.407265555555554,12.23568861111111
424,51.407420277777774,12.239016944444444
425,51.40763611111111,12.235649722222222
426,51.407803333333334,12.238985833333333
427,51.408025555555554,12.235617777777778
428,51.408185277777775,12.238927222222221
429,51.408407777777775,12.235568333333333
430,51.408567777777776,12.238877777777777
431,51.40878444444444,12.235528888888888
432,51.40894972222222,12.238819166666666
433,51.40916138888889,12.235489166666666
434,51.409325833333334,12.238770555555554
435,51.40955583333333,12.235438333333333
436,51.409708055555555,12.238711944444443
441,51.40720111111111,12.240603333333333
441L,51.407093333333336,12.240610694444443
442,51.40731944444444,12.243576944444444
443R,51.4078048611111,12.240548888888888
443,51.40766027777778,12.240553333333331
443L,51.40744194444444,12.240582499999999
444,51.40782972222222,12.243523333333332
445,51.40822791666666,12.240521805555556
445L,51.40809458333334,12.240532083333331
446,51.408339444444444,12.243451388888888
447R,51.408812777777776,12.24046111111111
447,51.408679166666666,12.240465833333332
447L,51.40846416666666,12.240493749999999
448,51.40884416666667,12.24340722222222
449,51.40923569444445,12.240412777777777
449L,51.409106111111115,12.240424444444443
450,51.40935361111111,12.243335277777778
451R,51.40984180555556,12.240349027777777
451,51.40969027777778,12.240370555555554
451L,51.409471249999996,12.2403975
452,51.40985722222222,12.243263888888889
461,51.40740583333333,12.24528486111111
462R,51.40743680555555,12.24838986111111
462,51.40758875,12.248378333333331
464,51.407795694444445,12.24835347222222
466,51.40801097222222,12.24833236111111
466L,51.40819958333333,12.248306388888889
468R,51.40844666666666,12.248287638888888
468,51.408610833333334,12.248262638888889
470,51.408821805555554,12.248238472222221
472,51.40902875,12.24820722222222
472L,51.40920333333333,12.248186944444443
474R,51.40946722222222,12.248165972222221
474,51.409612499999994,12.248146805555553
476,51.40983027777777,12.248131666666666
478,51.410047638888884,12.248105833333334
478L,51.41018430555555,12.248096388888888
463,51.40765041666667,12.245250277777778
465,51.40792444444445,12.24521861111111
467,51.408424305555556,12.245210138888888
469,51.40868833333333,12.245173472222222
471,51.40893583333333,12.245159166666665
473,51.40942986111111,12.245110138888888
475,51.40970513888889,12.245104722222223
477,51.40994583333333,12.245070416666666
487R,51.41025875,12.24980736111111
487,51.41007111111111,12.24983
487L,51.40987166666667,12.249850972222223
485R,51.409502222222216,12.249894027777778
485,51.40930347222222,12.249919583333334
485L,51.40910347222222,12.249940555555554
483R,51.40873138888889,12.249992777777777
483,51.40852875,12.250006527777778
483L,51.40832638888889,12.250025833333332
481R,51.4079725,12.250080138888888
481,51.40776513888889,12.250101944444443
481L,51.407564027777774,12.250123194444445
501,51.40940111111111,12.228807222222223
502,51.40938555555555,12.228402916666667
503,51.409371388888886,12.227984305555555
504,51.409340416666666,12.227175972222224
505,51.40932624999999,12.226757361111112
506,51.40930652777777,12.226344999999998
