stand,latcoord,longcoord
1,52.45953388888889,9.69331888888889
1A,52.459540000000004,9.693214166666667
2,52.45923597222223,9.692899722222222
2A,52.459095555555564,9.69287875
3,52.45879194444445,9.692818055555556
4,52.45848305555556,9.693277777777778
5,52.45833375000001,9.693750833333333
5A,52.45833430555556,9.694240972222222
6,52.45828847222222,9.694399305555557
7,52.458055138888895,9.69535875
7A,52.457997500000005,9.695511111111111
8,52.45773555555556,9.695867777777778
9,52.45746638888889,9.696403611111112
10,52.45751805555555,9.69699763888889
10A,52.45758166666667,9.697281111111112
11,52.457650972222226,9.69749625
11A,52.45794018518519,9.697645000000001
12,52.45817277777778,9.697810370370371
13,52.458109722222225,9.699050555555555
14A,52.45781597222222,9.699146944444443
14,52.45773069444445,9.699381666666667
15A,52.45759180555556,9.699526666666667
15,52.45750236111111,9.699696805555554
16,52.45740777777778,9.700219722222222
17,52.457423750000004,9.700745138888887
17A,52.457534305555555,9.700972916666666
18,52.457622083333334,9.701170972222222
18A,52.457865000000005,9.70136611111111
19,52.45802291666667,9.701493055555556
19A,52.45836361111111,9.70176
20,52.45839222222222,9.701764722222222
21,52.45726444444445,9.703349444444443
23,52.457239722222226,9.704984722222221
26,52.459941111111114,9.693407777777779
27,52.45993222222223,9.691495277777777
27A,52.460056111111115,9.691559444444446
27B,52.459736944444444,9.691077222222223
28,52.46020444444445,9.690991944444445
41,52.456899722222225,9.693350277777778
42,52.45690527777778,9.692644722222223
45,52.457143611111114,9.688936111111111
45R,52.45732805555556,9.68868
46,52.457164722222224,9.688303611111111
46R,52.45734916666667,9.68766361111111
47,52.45717972222222,9.687663888888888
48,52.45719527777778,9.687023055555557
48R,52.4573775,9.686622222222223
49,52.45721694444445,9.686333611111111
49R,52.45740805555556,9.685593888888889
50,52.457235555555556,9.685637222222223
51,52.457256111111114,9.684951944444444
51R,52.45743527777778,9.68454611111111
52,52.45727277777778,9.684257222222222
53,52.45874194444445,9.683265277777776
53R,52.45839055555556,9.684035277777777
54,52.45872194444445,9.684034166666667
54R,52.4584825,9.683798055555556
55,52.45869972222223,9.6848075
56,52.45867638888889,9.685579722222222
56R,52.45845138888889,9.684899444444445
57,52.45865444444445,9.686351666666667
57R,52.458421111111114,9.686003888888889
58,52.45872250000001,9.687103888888888
58A,52.45871597222222,9.687418055555556
59,52.45861055555556,9.687893888888889
59R,52.45838861111111,9.687108333333333
60A,52.458702638888894,9.688441666666666
60,52.45869513888889,9.688690277777777
60R,52.45835777777778,9.68821
61,52.45924111111111,9.687288055555555
61R,52.45932333333334,9.687649166666667
GAT-1,52.46304583333334,9.69357736111111
GAT-2,52.46401518518519,9.688955555555555
GAT-3,52.46421305555556,9.698099305555555
72,52.46295138888889,9.692010833333333
73,52.46308416666667,9.692530277777777
74,52.463098333333335,9.69324138888889
75,52.46326916666667,9.693146944444445
76,52.46320388888889,9.69372388888889
77,52.463367222222224,9.693637222222222
119,52.464064722222226,9.6911
120,52.46408138888889,9.6904825
121,52.46410055555556,9.689890833333333
122,52.46411638888889,9.689319722222223
123,52.46413277777778,9.6887125
124,52.46414888888889,9.688120555555555
125,52.46416472222222,9.687544166666667
126,52.463976111111116,9.687540277777778
127,52.46396527777778,9.688158333333334
128,52.463952500000005,9.688740000000001
129,52.46393611111112,9.689342222222223
130,52.46392027777778,9.68992888888889
131,52.46390416666667,9.690515555555557
135,52.46374527777778,9.689306944444445
136,52.463768611111114,9.688679722222222
137,52.46378194444445,9.6880825
138,52.463800000000006,9.687526944444445
