stand,latcoord,longcoord
Airbus,53.050860370370366,8.80035462962963
19,53.049589166666664,8.783455555555555
18A,53.04945847222222,8.783662777777778
18,53.04932013888889,8.783891666666667
17,53.05112888888888,8.7829525
16,53.050934444444444,8.783323611111111
15,53.05083583333333,8.783954444444444
14,53.050617499999994,8.784358333333333
13,53.050302916666666,8.784531527777776
12A,53.050177777777776,8.784724027777777
12,53.05004569444444,8.78492013888889
11,53.05246527777778,8.779995555555557
10,53.052722499999994,8.780722222222224
09,53.05266666666667,8.78177027777778
08,53.05258166666666,8.782289722222224
07,53.05247333333333,8.78293638888889
06,53.052256388888885,8.78411611111111
05,53.052074166666664,8.784748055555555
04,53.05174944444444,8.785374166666667
03,53.05139083333333,8.785916944444445
02,53.05100888888889,8.786374444444444
01,53.050730277777774,8.786825555555556
GAT,53.04973298611111,8.782399930555556
APR-3,53.05271064814814,8.778067222222223
LH-Parking,53.05021796296296,8.787830925925926
