stand,latcoord,longcoord
1,51.61222222222222,8.62188888888889
2,51.612,8.621361111111112
2A,51.61188888888889,8.621069444444444
3,51.61176388888889,8.620777777777779
4,51.611472222222226,8.620027777777779
5,51.61119444444444,8.619277777777778
6,51.61083333333333,8.618638888888889
7,51.61044444444445,8.618027777777778
7A,51.61036111111111,8.618111111111112
7B,51.610527777777776,8.617916666666668
7C,51.61066666666667,8.617777777777778
8X,51.61036111111111,8.61675
8Y,51.61036111111111,8.61675
9X,51.610083333333336,8.617111111111111
9Y,51.610083333333336,8.617111111111111
11,51.60980555555556,8.617027777777778
10,51.609972222222225,8.617472222222222
12A,51.60966666666667,8.615694444444443
12B,51.60975,8.615888888888888
12C,51.609833333333334,8.616083333333332
12D,51.60988888888889,8.615472222222222
12E,51.609972222222225,8.615666666666666
12F,51.610055555555554,8.61586111111111
12X,51.60980555555556,8.615638888888888
12Y,51.609944444444444,8.615972222222222
Hangar,51.60781870370371,8.610571018518518
