stand,latcoord,longcoord
18,48.78362527777777,8.090968055555557
18A,48.783854166666664,8.091337222222222
19,48.783074722222224,8.0905725
19A,48.783074722222224,8.0905725
20,48.78265944444444,8.0900975
21,48.782066388888886,8.089636111111112
22,48.78165972222222,8.089003055555557
23,48.78118527777778,8.088567777777778
24,48.78065972222222,8.088093055555555
25,48.780143055555556,8.087710555555557
26,48.77963472222222,8.087275277777778
27,48.77911777777778,8.086800555555556
GAT,48.76926888888889,8.078151666666667
