stand,latcoord,longcoord
A1,49.30949569444444,10.6346925
A2,49.30971180555555,10.634628194444444
A3,49.309926527777776,10.634561111111111
A4,49.31014180555555,10.634498333333333
A5,49.31035625,10.634433333333334
A6,49.31057138888889,10.634368194444445
B1,49.30954874999999,10.635101666666667
B2,49.309765,10.635038194444444
B3,49.309979999999996,10.634970972222222
B4,49.310195138888886,10.634906805555556
B5,49.31040986111111,10.634841944444442
B6,49.31062486111111,10.634776805555555
C1,49.30966624999999,10.636005972222222
C2,49.309882083333335,10.635941805555555
C3,49.31009652777777,10.635875694444444
C4,49.310310972222226,10.63580611111111
C5,49.310526527777775,10.635742222222222
C6,49.31074152777778,10.635676805555555
D1,49.30971958333333,10.63641375
D2,49.309934999999996,10.63634861111111
D3,49.31014972222222,10.636283194444445
D4,49.31036486111111,10.636216805555556
D5,49.310579722222215,10.6361525
D6,49.310794861111106,10.636085694444443
E1,49.30990361111111,10.637403611111111
E2,49.310173194444445,10.637321527777777
E3,49.310441805555556,10.637240555555556
E4,49.31071083333333,10.637158611111111
E5,49.310979305555556,10.63707625
F1,49.31008736111111,10.638819166666666
F2,49.31035694444444,10.638737777777777
F3,49.31062513888889,10.638656805555556
F4,49.31089444444444,10.638574166666666
F5,49.311163055555554,10.6384925
G1,49.31028,10.640408611111111
G2,49.31081638888889,10.640246388888889
G3,49.31115194444444,10.64014375
G4,49.311488749999995,10.640039999999999
H1,49.310388472222215,10.64154986111111
H2,49.31062194444444,10.641478055555556
H3,49.31086333333333,10.641404722222221
H4,49.31108847222222,10.641336666666668
I1,49.31050555555555,10.642453194444442
I2,49.31073972222222,10.64238125
I3,49.31098055555555,10.642308055555555
I4,49.31120527777777,10.642241111111112
J1,49.31062319444444,10.6433575
J2,49.31085638888889,10.643286944444444
J3,49.311098055555554,10.643214583333332
K1,49.31073986111111,10.644260833333334
K2,49.31097319444444,10.644191249999999
K3,49.31121541666666,10.644117638888888
L1,49.31085652777777,10.645165833333333
L2,49.31109097222222,10.645095416666667
L3,49.31133249999999,10.645020972222222
M1,49.310974027777775,10.64607111111111
M2,49.31120847222222,10.645999305555556
N1,49.31109125,10.646974583333332
N2,49.31132513888889,10.646904444444445
O1,49.310105138888886,10.645094861111112
O2,49.31016888888888,10.645589999999999
O3,49.31023347222222,10.646084444444444
O4,49.310296666666666,10.646577638888889
O5,49.31036125,10.64707125
MOC1,49.309334583333325,10.633457638888888
MOC2,49.3098075,10.633655416666667
VIP,49.311575,10.638503333333333
HNG1,49.311508240740736,10.647918333333333
HNG2,49.31169106481481,10.64562435185185
HNG3,49.31095716666666,10.634448777777777
HNG4,49.310361904761905,10.63342746031746
HNG5,49.30965794444444,10.63287911111111
