stand,latcoord,longcoord
1,49.47050333333334,10.384420833333333
2,49.470846111111115,10.385470972222222
3,49.47106652777778,10.386151388888887
4,49.47128875,10.38682611111111
A-STANDS,49.475894537037036,10.386104166666666
B-STANDS,49.47404268518518,10.383797592592593
C-STANDS,49.47496847222223,10.384388472222222
D-STANDS,49.47533638888889,10.385518194444444
E-STANDS,49.47714194444445,10.383074074074074
F-STANDS,49.47669833333334,10.381189814814816
G-STANDS,49.47301819444445,10.381578333333334
H-STANDS,49.47529125,10.388490416666667
I-STANDS,49.475781805555556,10.38792236111111
WEST-HNG,49.47581777777778,10.379225833333333
